TS-9	31_2.1/15-0507-1	top	RRR_S6	DM66000-001134-10_std-report.txt	DM66000-001134-10_std-report.txt																																																																										
date	time [hrs]	Stack Potential [V]	Stack Current [A]	Fuel Pressure [psi]	Air flow [slm]	T air in [C]	T air out [C]	T fuel in [C]	T fuel out [C]	T stack top [C]	T stack base [C]	T humidifier head [C]	T ref ext [C]	V01 [V]	V02 [V]	V03 [V]	V04 [V]	V05 [V]	V06 [V]	V07 [V]	V08 [V]	V09 [V]	V10 [V]	V11 [V]	V12 [V]	V13 [V]	V14 [V]	V15 [V]	V16 [V]	V17 [V]	V18 [V]	V19 [V]	V20 [V]	V21 [V]	V22 [V]	V23 [V]	V24 [V]	V25 [V]	V26 [V]	V27 [V]	V28 [V]	V29 [V]	V30 [V]	V31 [V]	Air Pressure [psi]	Thh Cathode [C]	RFM [ohms]	RTE [ohms]	DIN	T fc [C]	T wc [C]	T line [C]	T ric [C]	T roc [C]	T Cath H2O [C]	T Cath Line [C]	% fc	% wc	% line	% ric	% roc	% Cath H2O	% Cath Line	H2 flow [slm]	CH4 flow [slm]	N2 flow [slm]	Anode Air flow [slm]	CO2 flow [slm]	Air Moist flow [slm]	Current Density [mA/cm2]	"Mean P"" [mW/cm2]"	S:C [ ]	S:M [ ]	Tdp Cathode [C ]	Air Utilization [%]	Fuel Utilization [%]	SubTest	Grade	Comment
7/23/2018 14:10	0.3301	0	0	-0.004895	0.284578	25.277	25.278	25.007	25.097	25.231	24.99	23.38	22.775	-0.027488	0.027295	0.044127	-0.008615	-0.018732	0.044525	0.045039	-0.020735	-0.011671	0.001785	-0.034755	-0.045283	0.025267	0.035782	-0.025164	-0.036154	0.024972	0.029337	-0.039941	-0.028836	0.033291	0.032957	-0.026076	-0.020439	0.039775	0.031417	-0.022699	-0.012467	0.030454	-0.018488	0.01298	-0.008039	23.469	0.06897	-0.069946	210	24.8	21.4	27	23	22	24.451	25.403	0	0	0	0	0	0	0	0	0	-0.047	0	0	0.009	0	0	0.029171	Inf	0.097656	0	NaN	Maintenance	N/G	Std Rpt File Init
7/23/2018 20:16	6.4271	37.05	0.05	0.078775	12.558628	857.286	856.795	851.321	851.739	849.093	854.061	30.437	118.152	1.222409	1.219123	1.219816	1.219585	1.219444	1.218404	1.219007	1.218853	1.218532	1.218018	1.218044	1.218147	1.217428	1.217903	1.21762	1.217389	1.217145	1.216427	1.216786	1.216529	1.216285	1.216208	1.216337	1.216131	1.215939	1.215502	1.214822	1.214	1.211766	1.209558	1.186794	0.157909	31.172	-0.025267	-0.972527	210	850.1	30.8	151	150	151	32.252	32.574	59.4	0	0	0	31	0	0	6.198	0	-0.041	0	0	0.009	0.018975	0.703036	0.044543	Inf	0.097656	0.208432	0.174056	OCV Flow Sensitivity - H2	N/G	
7/23/2018 20:16	6.4271	37.05	0.05	0.078775	12.558628	857.286	856.795	851.321	851.739	849.093	854.061	30.437	118.152	1.222409	1.219123	1.219816	1.219585	1.219444	1.218404	1.219007	1.218853	1.218532	1.218018	1.218044	1.218147	1.217428	1.217903	1.21762	1.217389	1.217145	1.216427	1.216786	1.216529	1.216285	1.216208	1.216337	1.216131	1.215939	1.215502	1.214822	1.214	1.211766	1.209558	1.186794	0.157909	31.172	-0.025267	-0.972527	210	850.1	30.8	151	150	151	32.252	32.574	59.4	0	0	0	31	0	0	6.198	0	-0.041	0	0	0.009	0.018975	0.703036	0.044543	Inf	0.097656	0.208432	0.174056	OCV Flow Sensitivity - H2	N/G	DH2OCV
7/23/2018 20:34	6.7288	37.95	0.009	0.078377	12.544227	857.891	857.521	851.981	852.576	852.923	854.8	30.263	125.953	1.256034	1.249987	1.250719	1.250167	1.24991	1.248549	1.249076	1.248549	1.248215	1.246687	1.247483	1.247663	1.246033	1.246611	1.246212	1.245879	1.244903	1.243157	1.243722	1.243388	1.243003	1.242592	1.242951	1.242091	1.24186	1.240949	1.238984	1.237084	1.232526	1.228366	1.197502	0.158717	31.08	-0.02528	-0.982105	210	850	30.7	150	151	152	32.053	33.046	59	0	0	0	28	0	0	6.198	0	-0.045	0	0	0.013	0.003416	0.12962	0.04422	Inf	0.097656	0.037549	0.03133	Special	N/G	DH2OCV_1xAir_1xFuel
7/23/2018 20:49	6.9779	38.1	0.025	0.078153	37.356854	856.662	859.356	852.137	851.953	854.749	854.698	30.157	128.795	1.259681	1.253929	1.254352	1.253723	1.253389	1.252234	1.252465	1.25181	1.251579	1.24982	1.250796	1.251014	1.249371	1.249692	1.249371	1.249114	1.247882	1.246033	1.246572	1.246302	1.24593	1.245455	1.245866	1.244852	1.244672	1.243825	1.241667	1.239639	1.234991	1.230742	1.19808	0.655675	31.048	-0.025203	-0.986817	210	849.8	30.5	149	152	151	32.063	30.962	73.4	0	393	0	28	0	0	6.206	0	-0.041	0	0	0.013	0.009488	0.36148	0.04392	Inf	0.097656	0.035048	0.086916	Special	N/G	DH2OCV_3xAir_1xFuel
7/23/2018 20:59	7.1483	38.7	0.043	0.170387	37.452376	856.966	859.726	851.292	852.847	856.34	854.092	30.089	131.461	1.281507	1.274792	1.275716	1.27528	1.27501	1.273277	1.273906	1.273392	1.273059	1.271415	1.27207	1.272507	1.270812	1.271351	1.271056	1.270876	1.2699	1.268039	1.268886	1.267923	1.268552	1.268257	1.268963	1.268308	1.268398	1.267846	1.266395	1.265509	1.262004	1.258589	1.228777	0.657471	31.023	-0.0251	-1.007064	210	850	30.5	150	153	151	31.988	31.16	74.8	0	221	0	23	0	0	12.396	0	-0.039	0	0	0.011	0.016319	0.631537	0.043534	Inf	0.097656	0.060133	0.074844	Special	N/G	DH2OCV_3xAir_2xFuel
7/23/2018 21:14	7.4007	38.831	0.05	0.170945	12.507364	859.073	858.18	851.16	854.057	857.03	854.327	30.055	131.11	1.284151	1.277976	1.278644	1.278079	1.277809	1.276512	1.276666	1.276153	1.275883	1.274034	1.274843	1.275357	1.273534	1.273867	1.273611	1.273636	1.272468	1.270439	1.27139	1.267397	1.2713	1.270927	1.271788	1.270966	1.271274	1.270812	1.269322	1.26845	1.264919	1.261465	1.232359	0.158839	31.123	-0.02519	-1.013945	210	850.1	30.3	149	154	151	31.897	33.707	60.3	0	412	0	8	0	0	12.408	0	-0.041	0	0	0.012	0.018975	0.736831	0.043405	Inf	0.097656	0.209236	0.086944	Special	N/G	DH2OCV_1xAir_2xFuel
7/23/2018 21:30	7.6531	37.078	0.05	0.034098	12.520661	857.846	857.558	851.978	851.856	855.867	854.768	29.858	129.397	1.228251	1.226916	1.226287	1.225645	1.225324	1.225568	1.224592	1.224053	1.223937	1.222538	1.223347	1.223436	1.222204	1.221767	1.221575	1.221626	1.220355	1.21902	1.2192	1.214514	1.218776	1.218288	1.218365	1.217312	1.217056	1.216388	1.214051	1.211586	1.206579	1.201533	1.162529	0.159885	31.095	-0.025434	-0.957596	210	850.1	30.2	149	153	151	31.852	33.893	54.9	0	70	0	19	0	0	3.102	0	-0.041	0	0	0.009	0.018975	0.703567	0.0432	Inf	0.097656	0.209064	0.347776	Special	N/G	DH2OCV_1xAir_0.5xFuel
7/23/2018 22:50	8.9939	29.4	0.043	0.213402	12.504899	858.323	857.34	851.682	853.368	854.903	854.701	70.838	151.417	0.96675	0.966596	0.966519	0.966416	0.966365	0.966288	0.966198	0.966147	0.966057	0.965993	0.96598	0.965941	0.965826	0.965826	0.965761	0.965736	0.965749	0.96571	0.965736	0.96562	0.965697	0.965697	0.965672	0.965646	0.965659	0.965684	0.965672	0.965684	0.965672	0.965633	0.96449	0.158936	30.864	-0.025049	-0.76147	210	850	70.3	150	150	150	31.516	34.137	59.6	11.5	0	14	29	0	0	6.198	0	-0.039	0	0	0.011	0.016319	0.479772	0.463639	Inf	0.097656	0.179993	0.149688	Special	N/G	Moist H2 OCV
7/24/2018 1:51	12.0071	19.05	36	0.462122	37.934858	782.999	809.822	784.778	811.537	813.873	800.159	71.075	153.878	0.764128	0.767325	0.782731	0.788624	0.793349	0.796417	0.80127	0.803158	0.803337	0.806945	0.803748	0.808781	0.809641	0.808332	0.809346	0.802567	0.810155	0.811413	0.812864	0.808755	0.808717	0.808434	0.812607	0.809847	0.810103	0.807754	0.805186	0.805122	0.802285	0.792553	0.792091	0.587421	31.481	-0.801283	-0.874734	210	758.7	70	150	150	150	31.704	33.047	46.7	23.9	0	10	55	0	0	11.104	0	-0.059	0	0	0.011	13.662239	260.265655	0.45421	Inf	0.097656	49.703449	69.951009	Special	N/G	H2SS
